Setting,Seed,Modes,High-Quality Samples,Reverse KL
alpha-2.0_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,2,1,0.248,0.7886036586551058
alpha-2.0_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,1,5,0.098,0.6601113795994402
alpha-2.0_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,16,6,0.1505,0.6296292186143893
alpha-2.0_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,17,6,0.122,0.6057039015439987
alpha-2.0_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,12,5,0.216,0.571307907385093
alpha-2.0_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,18,5,0.236,0.6985585077172631
alpha-2.0_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,19,7,0.116,0.8101428115811767
alpha-0.8_dlayers-0_glayers-4_dwidth-100_gwidth-400_dlr-0.0001_glr-0.0001_,1,15,0.3515,0.23040070256687026
alpha-2.0_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,20,7,0.22,0.5257762783928771
alpha-0.8_dlayers-0_glayers-4_dwidth-100_gwidth-400_dlr-0.0001_glr-0.0001_,4,17,0.3535,0.2275328680848066
alpha-0.8_dlayers-0_glayers-4_dwidth-100_gwidth-400_dlr-0.0001_glr-0.0001_,5,15,0.341,0.31923544977174184
alpha-0.8_dlayers-0_glayers-4_dwidth-100_gwidth-400_dlr-0.0001_glr-0.0001_,2,8,0.2665,0.6484612185370495
alpha-0.8_dlayers-0_glayers-4_dwidth-100_gwidth-400_dlr-0.0001_glr-0.0001_,3,18,0.4245,0.06317715778101546
alpha-0.8_dlayers-0_glayers-4_dwidth-100_gwidth-400_dlr-0.0001_glr-0.0001_,10,8,0.309,0.5609023357691847
alpha-0.8_dlayers-0_glayers-4_dwidth-100_gwidth-400_dlr-0.0001_glr-0.0001_,11,8,0.1885,0.4718808465205237
alpha-0.8_dlayers-0_glayers-4_dwidth-100_gwidth-400_dlr-0.0001_glr-0.0001_,12,11,0.3485,0.43005546892323454
alpha-0.8_dlayers-0_glayers-4_dwidth-100_gwidth-400_dlr-0.0001_glr-0.0001_,7,12,0.233,0.34108630883527946
alpha-0.8_dlayers-0_glayers-4_dwidth-100_gwidth-400_dlr-0.0001_glr-0.0001_,6,12,0.4145,0.37986326419827177
alpha-0.8_dlayers-0_glayers-4_dwidth-100_gwidth-400_dlr-0.0001_glr-0.0001_,8,9,0.279,0.36041194022295164
alpha-0.8_dlayers-0_glayers-4_dwidth-100_gwidth-400_dlr-0.0001_glr-0.0001_,9,12,0.3705,0.3499024709872776
alpha-0.8_dlayers-0_glayers-4_dwidth-100_gwidth-400_dlr-0.0001_glr-0.0001_,15,19,0.4285,0.15551291671153375
