Setting,Seed,Modes,Major-Modes,Minor-Modes,HQS,Real-KL,Real-RKL,Real-JSD,Real-TVD,Uniform-KL,Uniform-RKL,Uniform-JSD,Uniform-TVD
-major_weight-10-dataset-lattice-d_layers-3-g_layers-2-d_alpha-0.8-g_alpha-1.2,1,23,16,7,0.77332,0.19124574363252267,0.1205462560485252,0.0349673184952791,0.16544378698224851,0.7227617148405233,0.4142083375513078,0.11814358349181028,0.3985614385614386
-major_weight-10-dataset-lattice-d_layers-3-g_layers-2-d_alpha-0.8-g_alpha-2,1,25,16,9,0.78272,0.2245615965580168,0.1387425396753791,0.04021450193412288,0.19676938446169215,0.7581627539782871,0.4398575439566841,0.12519321123695618,0.405954045954046
-major_weight-10-dataset-lattice-d_layers-3-g_layers-2-d_alpha-1-g_alpha-0.5,1,7,4,3,0.00652,4.786377753050618,1.95120693836888,0.40718172134531316,0.7276938446169215,3.8852024678593913,1.0722758360508386,0.2999820589704709,0.633966033966034
-major_weight-10-dataset-lattice-d_layers-3-g_layers-2-d_alpha-1-g_alpha-1,1,24,16,8,0.80936,0.10698860783824335,0.06883856086225373,0.019811297575747615,0.1252040267424883,0.7585451892208555,0.38495142209293043,0.11356040864570652,0.3589210789210789
-major_weight-10-dataset-lattice-d_layers-3-g_layers-2-d_alpha-1-g_alpha-1.5,1,22,16,6,0.75032,0.07599173993916976,0.04473372596196024,0.012214508044047955,0.09881810497195112,0.8751720643397035,0.35192148213687585,0.1043949831352538,0.32695304695304694
-major_weight-10-dataset-lattice-d_layers-3-g_layers-2-d_alpha-1-g_alpha-0.8,1,24,16,8,0.77796,0.11304972479760593,0.07105059494379086,0.02031653412428676,0.11446707139014832,0.8090713070339727,0.3618603232844231,0.10709754167385255,0.3598401598401598
-major_weight-10-dataset-lattice-d_layers-3-g_layers-2-d_alpha-1-g_alpha-1.2,1,22,16,6,0.80632,0.05426949380784332,0.035772598387743895,0.010220642467538944,0.07645892568969492,0.8056029904895217,0.36182268998978345,0.10925906365970484,0.3473326673326673
-major_weight-10-dataset-lattice-d_layers-3-g_layers-2-d_alpha-1-g_alpha-2,1,22,16,6,0.80924,0.04699829587607093,0.03572261212162013,0.009712394295420253,0.09705678936448167,0.7402777716717552,0.3446585847507569,0.10347913790795898,0.32535464535464537
-major_weight-10-dataset-lattice-d_layers-3-g_layers-2-d_alpha-1.2-g_alpha-0.8,1,23,16,7,0.7322,0.02496021731225924,0.01998933273186285,0.005386050584581502,0.06716975332359948,0.6567310570323857,0.33343386358504395,0.09979372994470906,0.32607392607392605
-major_weight-10-dataset-lattice-d_layers-3-g_layers-2-d_alpha-1.2-g_alpha-1,1,22,16,6,0.80612,0.06018737748859099,0.0416584148384738,0.011676817811459593,0.09167140551755935,0.7176186966911591,0.33522848494892904,0.09967491890996094,0.33514485514485515
-major_weight-10-dataset-lattice-d_layers-3-g_layers-2-d_alpha-1.2-g_alpha-0.5,1,19,13,6,0.023,0.8333615787100118,0.5436071557680309,0.1224897050162352,0.3766479674171982,0.9403630810836171,0.34924081236610155,0.09630566198816272,0.33410589410589414
-major_weight-10-dataset-lattice-d_layers-3-g_layers-2-d_alpha-1.2-g_alpha-1.2,1,23,16,7,0.78576,0.042045050794289524,0.03645382367601162,0.009569139417996447,0.10261123491892724,0.5650640466753034,0.32027068619975885,0.09309312927119501,0.325954045954046
-major_weight-10-dataset-lattice-d_layers-3-g_layers-2-d_alpha-1.2-g_alpha-1.5,1,24,16,8,0.75036,0.037908949117294054,0.03129210467831698,0.008335008251419118,0.08773687850610927,0.6384228526343256,0.3255982659273918,0.09663934516504019,0.32359640359640357
-major_weight-10-dataset-lattice-d_layers-3-g_layers-2-d_alpha-1.2-g_alpha-2,1,22,16,6,0.83532,0.050995555058514254,0.0237804961454789,0.00704782069308248,0.065227080611696,0.8980855098453175,0.3561793738181115,0.10867099809739789,0.3343056943056943
-major_weight-10-dataset-lattice-d_layers-3-g_layers-2-d_alpha-1.5-g_alpha-0.5,1,17,12,5,0.004,2.283929848762632,1.43170524437939,0.3142403189768974,0.6722600476446631,2.174370441181114,1.1277533327154865,0.2746863071688815,0.6296503496503496
-major_weight-10-dataset-lattice-d_layers-3-g_layers-2-d_alpha-1.5-g_alpha-0.8,1,24,16,8,0.73428,0.0156362482116861,0.010519653675800282,0.0029472012313584662,0.04159225389994621,0.5890770822581816,0.3039057010016007,0.09085058542697058,0.31736263736263737
-major_weight-10-dataset-lattice-d_layers-3-g_layers-2-d_alpha-1.5-g_alpha-1,1,20,15,5,0.7566,0.5144806504165913,0.13603655272565207,0.04270400571539445,0.161745946361331,1.3157334222232364,0.45417366458753233,0.13600320294208584,0.4041958041958042
-major_weight-10-dataset-lattice-d_layers-3-g_layers-2-d_alpha-1.5-g_alpha-1.5,1,20,16,4,0.78876,0.14558027074332677,0.07165946580554086,0.02186011960272382,0.1063029278413894,0.9217728383617604,0.38087147261166,0.11401605736360712,0.3586813186813187
-major_weight-10-dataset-lattice-d_layers-3-g_layers-2-d_alpha-1.5-g_alpha-2,1,22,16,6,0.78568,0.02718432321441145,0.023538115018415295,0.006169644795150353,0.08118035810343502,0.5620450075698971,0.3029384307104456,0.08937110999551398,0.3112887112887113
-major_weight-10-dataset-lattice-d_layers-3-g_layers-2-d_alpha-1.5-g_alpha-1.2,1,23,16,7,0.80816,0.09066398173786851,0.05992963441564221,0.017210466268119617,0.11026511949588874,0.7162475507302113,0.3645410716053897,0.10795393898037516,0.3524875124875125
