Setting,Seed,0.0-1,0.0-3,0.0-5,0.0-10,0.1-1,0.1-3,0.1-5,0.1-10,0.2-1,0.2-3,0.2-5,0.2-10,0.3-1,0.3-3,0.3-5,0.3-10,0.4-1,0.4-3,0.4-5,0.4-10,0.5-1,0.5-3,0.5-5,0.5-10,0.6-1,0.6-3,0.6-5,0.6-10,0.7-1,0.7-3,0.7-5,0.7-10,0.8-1,0.8-3,0.8-5,0.8-10,0.9-1,0.9-3,0.9-5,0.9-10
-non_saturating-n_epochs-50-d_alpha-0.85,74,803,635,520,396,774,593,482,365,680,471,387,269,583,364,277,180,452,260,183,120,336,172,123,64,232,114,68,39,151,57,31,15,71,26,15,4,25,5,2,1
-non_saturating-n_epochs-50-d_alpha-0.85,73,768,565,469,372,732,534,449,356,640,461,382,283,547,368,307,217,456,295,227,145,371,204,158,91,288,154,100,50,202,88,55,27,120,40,21,9,49,8,2,0
-non_saturating-n_epochs-50-d_alpha-0.9,73,10,8,7,6,7,6,6,5,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-non_saturating-n_epochs-50-d_alpha-1,73,682,497,422,325,654,467,399,312,573,404,339,260,481,332,269,193,398,257,205,132,316,200,147,90,247,140,93,50,195,86,53,26,114,44,21,6,42,7,2,1
-non_saturating-n_epochs-50-d_alpha-0.9,74,57,46,42,38,19,11,9,8,5,5,4,3,4,3,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-non_saturating-n_epochs-50-d_alpha-1,74,880,731,648,518,868,715,623,495,809,655,554,434,744,577,491,347,666,500,390,247,580,392,287,167,502,294,200,100,396,200,119,46,290,98,54,7,125,16,8,2
-non_saturating-n_epochs-50-d_alpha-0.95,74,793,609,513,377,751,569,465,344,666,457,369,249,560,349,261,181,446,239,186,117,325,180,122,81,223,126,89,46,174,75,41,24,102,34,20,8,32,2,1,1
-non_saturating-n_epochs-50-d_alpha-0.85,75,720,514,421,310,695,495,403,295,604,420,338,242,521,328,266,184,435,254,194,138,333,188,148,97,255,140,105,61,176,99,64,47,120,59,43,26,56,20,12,8
-non_saturating-n_epochs-50-d_alpha-1,75,656,475,399,272,627,449,370,258,534,365,293,197,440,275,206,154,344,207,153,98,273,131,105,61,185,90,63,40,123,55,38,18,70,26,17,9,22,6,4,1
-non_saturating-n_epochs-50-d_alpha-0.9,75,743,544,440,326,714,515,414,314,618,415,337,246,512,331,263,187,409,246,187,122,332,181,139,85,256,135,93,58,183,91,62,31,115,52,29,16,52,17,11,5
-non_saturating-n_epochs-50-d_alpha-0.85,76,765,574,480,351,744,554,462,336,659,479,393,266,576,380,301,216,478,288,225,159,377,224,176,110,304,166,120,71,229,116,75,40,149,62,37,17,62,18,13,6
-non_saturating-n_epochs-50-d_alpha-0.95,75,844,650,534,376,816,629,507,360,757,526,415,301,623,417,326,212,506,320,233,154,408,224,166,105,314,158,110,69,222,101,68,26,141,46,21,4,44,4,2,0
-non_saturating-n_epochs-50-d_alpha-0.85,77,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-non_saturating-n_epochs-50-d_alpha-1,76,28,22,17,13,8,6,4,4,3,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-non_saturating-n_epochs-50-d_alpha-0.9,76,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-non_saturating-n_epochs-50-d_alpha-0.95,76,701,508,417,312,677,479,385,301,583,396,326,244,495,311,262,184,402,247,192,133,321,183,137,83,245,127,88,46,165,71,46,30,88,35,22,11,36,6,3,1
-non_saturating-n_epochs-50-d_alpha-0.9,77,10,7,7,6,5,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-non_saturating-n_epochs-50-d_alpha-1,77,748,568,477,375,721,547,461,366,653,479,403,318,570,400,337,261,481,328,270,186,425,264,206,127,339,190,145,82,260,134,92,44,178,68,35,16,78,20,12,5
-non_saturating-n_epochs-50-d_alpha-0.85,78,5,3,3,3,5,3,3,3,3,3,3,3,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-non_saturating-n_epochs-50-d_alpha-0.95,78,919,725,624,460,896,701,603,442,824,618,519,371,727,509,405,282,636,408,307,202,530,304,221,134,442,228,152,81,339,149,91,40,224,77,40,16,87,23,10,3
-non_saturating-n_epochs-50-d_alpha-0.95,77,10,8,7,7,6,6,5,5,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-non_saturating-n_epochs-50-d_alpha-0.9,78,18,16,13,11,8,7,6,6,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
