setting,seed,train_test_split,noise_dim,batch_size,save_images,n_epochs,epoch_step,lr,model_width,beta1,amp,d_alpha,g_alpha,non_saturating,ls_gan,errors,epochs,fid_scores,time
non_saturating-n_epochs-100-epoch_step-10-lr-0.001-d_alpha-0.9-g_alpha-1,1,0.8,100,128,False,100,10,0.001,64,0.9,False,0.9,1.0,True,False,"[0.02968904244817374, 0.03501974333662389, 0.09291707798617967, 0.12793682132280354, 0.23772211253701875, 0.284637216189536, 0.36763326752221126, 0.2901653504442251, 0.2985932872655479, 0.23311944718657454]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1313.0069441911814, 430.6232996707495, 161.55045296933667, 124.42093996006179, 74.29033165217243, 72.32108685979733, 73.91527194132505, 96.6284810390955, 92.88833964891637, 93.22929199179544]",3129
non_saturating-n_epochs-100-epoch_step-10-lr-0.005-d_alpha-0.9-g_alpha-1,1,0.8,100,128,False,100,10,0.005,64,0.9,False,0.9,1.0,True,False,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1877.6840883531074, 1878.631906055964, 1878.3717912749828, 1879.165607000884, 1879.0615691157243, 1878.1145025733947, 1879.7002379355854, 1878.0261339609233, 1878.505221283413, 1878.5617085166496]",3142
non_saturating-n_epochs-100-epoch_step-10-lr-0.0001-d_alpha-0.8-g_alpha-1,5,0.8,100,128,False,100,10,0.0001,64,0.9,False,0.8,1.0,True,False,"[0.14775419545903257, 0.15620681145113524, 0.11848469891411649, 0.17665350444225075, 0.21096989141164857, 0.14647087857847976, 0.1784674234945706, 0.09394126357354393, 0.201073543928924, 0.2137709772951629]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[710.2683634326079, 173.50408987893456, 97.68425694645157, 72.99709714417577, 61.750820230012664, 58.69536396590456, 56.552169781572275, 55.64768550400095, 57.34640867037206, 58.255165563570245]",3142
non_saturating-n_epochs-100-epoch_step-10-lr-0.001-d_alpha-0.8-g_alpha-1,1,0.8,100,128,False,100,10,0.001,64,0.9,False,0.8,1.0,True,False,"[0.1747161895360316, 0.11327739387956565, 0.13221865745310957, 0.14770483711747284, 0.15508390918065154, 0.2935587364264561, 0.2769496544916091, 0.20038252714708785, 0.22545656465942746, 0.22905972359328727]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[928.9220926548969, 317.2499515469631, 176.21526935565805, 97.56110533023798, 69.48098985461229, 67.6930779888869, 63.74927900549892, 71.22511587915733, 61.3197129311684, 46.598015668808785]",3135
non_saturating-n_epochs-100-epoch_step-10-lr-0.0005-d_alpha-0.8-g_alpha-1,1,0.8,100,128,False,100,10,0.0005,64,0.9,False,0.8,1.0,True,False,"[0.0955700888450148, 0.04365745310957552, 0.14259624876604146, 0.17261846001974335, 0.09674234945705824, 0.2630182625863771, 0.25286278381046395, 0.24415103652517275, 0.23583415597235932, 0.27077986179664365]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1206.4351721602302, 318.8534334255463, 128.61641273698592, 77.98480012493326, 66.17513468723712, 56.55179209543712, 54.337256738908536, 48.324436249593646, 62.863347783102654, 53.00870972121015]",3135
non_saturating-n_epochs-100-epoch_step-10-lr-0.0005-d_alpha-0.9-g_alpha-1,4,0.8,100,128,False,100,10,0.0005,64,0.9,False,0.9,1.0,True,False,"[0.1591436327739388, 0.12147087857847977, 0.07253208292201382, 0.17158193484698914, 0.19645853899308982, 0.2680898321816387, 0.2926209279368213, 0.14888943731490623, 0.23854886475814413, 0.22481490621915104]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[933.6188664082777, 277.1160151799297, 158.3803432634379, 78.57445133586452, 71.29824584771495, 71.72385834092847, 58.89981428168744, 62.11954235322651, 60.11008826054672, 59.61132128639133]",3149
non_saturating-n_epochs-100-epoch_step-10-lr-0.0001-d_alpha-1-g_alpha-1,4,0.8,100,128,False,100,10,0.0001,64,0.9,False,1.0,1.0,True,False,"[0.02045903257650543, 0.09306515301085884, 0.1712857847976308, 0.1796767028627838, 0.1965695952615992, 0.1828356367226061, 0.16862043435340573, 0.2092670286278381, 0.2661771964461994, 0.13535291214215203]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[433.78100060168026, 148.3104289521607, 96.85679739240686, 79.20407164194603, 66.3833750885351, 58.64909754407199, 55.43600557288573, 54.09765925358397, 51.47088428701716, 58.27368289765889]",3132
non_saturating-n_epochs-100-epoch_step-10-lr-0.0005-d_alpha-0.8-g_alpha-1,4,0.8,100,128,False,100,10,0.0005,64,0.9,False,0.8,1.0,True,False,"[0.012018756169792696, 0.15827986179664363, 0.14954343534057254, 0.15865004935834157, 0.23004689042448173, 0.46052566633761105, 0.22391411648568607, 0.3423000987166831, 0.3259871668311945, 0.18231737413622903]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1107.4057339994424, 270.45666263297585, 127.60343553117013, 86.44750293572827, 82.50297724907512, 58.31207628918196, 59.192694684036724, 45.48219688073641, 45.755646161851246, 52.602406328657366]",3145
non_saturating-n_epochs-100-epoch_step-10-lr-0.0001-d_alpha-0.9-g_alpha-1,4,0.8,100,128,False,100,10,0.0001,64,0.9,False,0.9,1.0,True,False,"[0.05124629812438302, 0.0569101678183613, 0.11786771964461994, 0.2131416584402764, 0.10248025666337611, 0.25109822309970387, 0.16869447186574532, 0.1608588351431392, 0.2073420533070089, 0.19470631786771964]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[556.2881137864453, 175.38824330510033, 112.7320277127834, 71.12467726433192, 66.7471388084864, 61.260281845112786, 53.06425588329341, 68.00040699835336, 63.04155020428743, 53.47268714140944]",3157
non_saturating-n_epochs-100-epoch_step-10-lr-0.0001-d_alpha-0.9-g_alpha-1,5,0.8,100,128,False,100,10,0.0001,64,0.9,False,0.9,1.0,True,False,"[0.06913869693978282, 0.197680157946693, 0.21336377097729517, 0.11812685093780849, 0.12201382033563672, 0.11038993089832182, 0.20396100691016783, 0.18925222112537018, 0.26539980256663376, 0.18393385982230998]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[551.6163441214276, 198.52916192919383, 122.21530633562247, 71.51060929282653, 66.15269188232446, 59.24214596130855, 63.7290741327962, 58.92546229109257, 56.22995517961817, 60.0642634399851]",3191
