Setting,Seed,0.0-1,0.0-3,0.0-5,0.0-10,0.1-1,0.1-3,0.1-5,0.1-10,0.2-1,0.2-3,0.2-5,0.2-10,0.3-1,0.3-3,0.3-5,0.3-10,0.4-1,0.4-3,0.4-5,0.4-10,0.5-1,0.5-3,0.5-5,0.5-10,0.6-1,0.6-3,0.6-5,0.6-10,0.7-1,0.7-3,0.7-5,0.7-10,0.8-1,0.8-3,0.8-5,0.8-10,0.9-1,0.9-3,0.9-5,0.9-10
-non_saturating-n_epochs-50-d_alpha-1,4,747,530,441,315,708,492,410,284,615,403,321,215,499,308,242,154,392,220,160,107,295,162,114,85,207,109,87,56,160,75,59,45,95,51,38,14,46,12,6,3
-non_saturating-n_epochs-50-d_alpha-1.5,3,894,738,629,451,878,716,611,433,824,625,517,362,750,512,395,270,650,399,303,196,553,309,227,142,432,238,166,108,323,158,114,53,235,102,53,19,113,24,13,4
-non_saturating-n_epochs-50-d_alpha-2,3,682,490,408,295,648,468,384,271,564,375,310,219,463,302,241,170,378,220,176,108,303,166,118,69,229,106,74,51,160,63,47,29,90,34,27,15,36,13,5,4
-non_saturating-n_epochs-50-d_alpha-3,3,745,549,444,325,704,508,403,300,593,408,320,221,490,306,242,161,388,224,172,114,306,172,126,77,225,121,85,52,162,76,54,32,108,44,30,9,46,13,6,5
-non_saturating-n_epochs-50-d_alpha-1.2,4,801,608,485,343,767,567,446,319,665,461,363,256,553,348,257,180,432,246,186,115,320,180,122,76,230,118,81,47,166,71,53,31,105,44,29,14,46,7,3,1
-non_saturating-n_epochs-50-d_alpha-1,6,840,666,566,420,803,636,534,388,730,530,426,288,624,411,313,219,517,304,230,139,417,210,150,90,305,142,99,55,204,89,58,26,121,45,24,15,43,13,3,2
-non_saturating-n_epochs-50-d_alpha-1.2,5,573,389,320,243,548,378,311,238,487,322,266,198,409,259,211,153,329,211,163,115,272,158,123,82,215,113,84,60,161,79,62,41,106,52,38,16,53,15,5,1
-non_saturating-n_epochs-50-d_alpha-3,5,282,174,146,112,236,152,124,93,168,101,87,67,122,71,57,44,80,51,38,21,54,25,19,13,34,15,11,10,16,7,6,5,7,6,3,3,3,2,2,1
-non_saturating-n_epochs-50-d_alpha-1.5,5,701,491,394,282,680,467,377,274,601,401,324,233,496,326,255,188,419,263,205,142,340,192,150,112,258,151,120,77,190,115,81,49,135,67,41,22,64,23,10,5
-non_saturating-n_epochs-50-d_alpha-2,4,681,506,429,340,639,477,404,319,556,393,334,247,468,319,256,179,390,234,184,116,306,171,122,76,227,109,85,42,157,71,46,25,95,37,19,13,42,16,10,3
-non_saturating-n_epochs-50-d_alpha-1.5,4,763,587,489,353,733,556,465,327,635,448,365,251,511,342,261,171,421,235,182,126,331,171,127,82,239,110,81,48,158,62,41,15,84,28,12,3,20,4,2,1
-non_saturating-n_epochs-50-d_alpha-1,5,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-non_saturating-n_epochs-50-d_alpha-3,4,579,395,324,240,544,376,310,227,450,312,249,182,363,238,195,138,284,182,140,95,222,129,98,55,171,92,57,36,114,46,36,26,67,30,21,15,30,14,8,4
-non_saturating-n_epochs-50-d_alpha-2,5,172,121,105,91,117,89,79,68,75,59,48,35,49,33,23,19,31,18,17,14,19,11,9,7,10,4,2,1,3,2,1,0,2,0,0,0,0,0,0,0
-non_saturating-n_epochs-50-d_alpha-1,7,4,4,4,3,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-non_saturating-n_epochs-50-d_alpha-1.5,6,314,208,181,136,199,134,114,83,101,64,49,37,51,34,22,16,29,9,5,1,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-non_saturating-n_epochs-50-d_alpha-2,6,134,104,91,78,106,78,69,61,74,53,46,38,47,32,24,16,30,15,8,5,14,3,2,1,4,1,1,0,3,1,0,0,1,0,0,0,1,0,0,0
-non_saturating-n_epochs-50-d_alpha-3,6,463,314,264,192,384,261,215,157,278,176,139,100,204,118,93,63,128,72,59,35,88,53,37,23,63,31,22,15,32,15,13,8,17,8,8,3,5,1,1,0
-non_saturating-n_epochs-50-d_alpha-1.2,7,726,506,404,281,691,479,378,268,580,388,307,211,488,301,219,150,382,207,156,102,287,147,108,76,215,100,76,52,149,71,51,34,94,44,32,17,41,17,13,8
-non_saturating-n_epochs-50-d_alpha-1.2,6,708,527,419,289,676,484,381,263,562,367,293,193,430,261,194,149,324,185,149,103,244,142,107,69,180,89,71,34,120,57,38,21,80,30,19,9,33,8,6,4
-non_saturating-n_epochs-50-d_alpha-1,8,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-non_saturating-n_epochs-50-d_alpha-1.2,8,622,432,348,241,588,411,329,234,515,349,272,188,433,267,208,151,345,203,159,106,282,156,121,79,211,117,87,54,159,86,57,37,102,44,35,19,49,16,10,7
-non_saturating-n_epochs-50-d_alpha-3,7,643,453,366,264,612,427,338,255,528,348,283,211,439,283,228,162,352,221,173,118,286,165,126,85,227,122,90,56,163,79,55,35,100,41,25,15,39,11,4,0
-non_saturating-n_epochs-50-d_alpha-1.5,7,576,406,345,247,535,371,312,228,436,291,235,177,328,211,178,122,252,150,125,85,191,113,78,49,139,67,46,26,91,41,25,14,54,15,7,1,13,0,0,0
-non_saturating-n_epochs-50-d_alpha-2,7,811,598,499,359,783,569,469,336,672,483,370,257,577,354,279,181,458,263,192,114,354,182,127,72,268,125,74,46,178,70,42,23,104,34,22,2,30,4,0,0
-non_saturating-n_epochs-50-d_alpha-1.5,8,693,502,415,301,663,481,397,287,592,409,335,236,511,330,262,186,409,268,202,143,337,197,153,105,260,150,116,78,190,112,83,47,151,63,45,26,69,26,19,5
-non_saturating-n_epochs-50-d_alpha-2,8,792,603,482,332,751,553,427,301,640,416,335,230,515,307,239,166,413,219,158,99,304,151,108,51,223,108,58,39,144,53,33,23,85,27,20,10,26,10,5,1
-non_saturating-n_epochs-50-d_alpha-1,9,781,557,468,339,749,532,447,314,661,439,357,253,558,356,275,188,451,270,208,138,380,196,144,96,284,142,106,65,198,94,64,38,125,49,35,15,51,15,8,4
