Setting,Seed,FID Score,Epochs,FIDs
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0002-g_alpha-1-d_alpha-0.9,13,88.42453852509959,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[493.21511445641147, 108.70676507906944, 82.80976004087086, 49.32458022005312, 45.168031103395606, 50.64708228893346, 53.997674850477324, 85.6618731285563, 90.62154107896299, 88.42453852509959]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.001-g_alpha-1-d_alpha-1,12,47.85128549793842,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[748.1965333801456, 279.19093905714954, 92.82495332068436, 62.63014206158164, 61.971032212450154, 60.47881134867748, 54.34852489293746, 72.13499930978355, 54.0081816211997, 47.85128549793842]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.001-g_alpha-1-d_alpha-0.7,12,64.67169614611282,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1165.7118409317209, 307.5183574557841, 171.24198246512742, 102.38708777188447, 94.84523661259334, 79.79207031580131, 74.60767076543789, 62.19935489929014, 61.628842633761906, 64.67169614611282]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.001-g_alpha-1-d_alpha-0.5,12,171.40214412344017,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1530.112043678424, 1122.9131002023003, 1140.399795712644, 1847.2694761653124, 489.2801108039073, 239.21507845579595, 236.3387791913559, 207.33118061134917, 152.57643350418198, 171.40214412344017]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.001-g_alpha-1-d_alpha-0.6,12,38.17771948618088,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1596.3681851901952, 808.9463113149653, 377.3724039828537, 178.15059717890915, 117.5635365614088, 97.47387262393681, 68.9157622823111, 79.93152286388613, 43.71670101616428, 38.17771948618088]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0002-g_alpha-1-d_alpha-0.6,13,41.1342766004293,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[465.7439863524369, 169.49327761062102, 90.30183186176544, 88.30501098430045, 47.85170270699018, 53.08586630890022, 53.145818358784936, 51.62480142231607, 65.73047914354515, 41.1342766004293]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0008-g_alpha-1-d_alpha-0.5,12,87.46100506754817,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1738.4890385365384, 1338.8773538477187, 606.6754719777462, 477.60611135439115, 479.65684104446416, 151.32481491732165, 115.50731952928027, 134.0155409761203, 80.78222938949739, 87.46100506754817]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0005-g_alpha-1-d_alpha-0.8,13,115.26427485694342,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[742.1890765443574, 259.6622905702577, 116.4649009197392, 76.77448575231574, 60.1857902680747, 132.69431432675037, 120.15753638050819, 145.4539285272034, 120.1835429351363, 115.26427485694342]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.001-g_alpha-1-d_alpha-0.8,12,44.437842143242506,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[990.0985060594819, 286.41085530665646, 104.00694815165434, 77.52719025400484, 51.30202175325917, 60.17664282039891, 53.29850133651121, 60.00964967105517, 52.38845375611038, 44.437842143242506]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0005-g_alpha-1-d_alpha-0.9,13,122.76941231698731,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[561.2381553906762, 185.78092448563086, 143.61440990897245, 82.16440680314861, 80.419029120245, 123.09002130697218, 139.99761639384985, 136.59867305172304, 124.08483011616477, 122.76941231698731]"
