Setting,Seed,Modes,High-Quality Samples,KL,Reverse KL,JSD,TVD
alpha-0.5_dlayers-1_glayers-4_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,10,0,0.00028,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-0.2_dlayers-2_glayers-1_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,4,8,0.89708,0.006653189066118224,0.006622887188886242,0.001657743954330501,0.0501039667306462
alpha-0.2_dlayers-2_glayers-1_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,5,7,0.82252,0.33681699002258014,0.2044522086800423,0.05965805955406208,0.2348448496481126
alpha-0.2_dlayers-2_glayers-1_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,1,8,0.84116,0.31294428986750034,0.190790113165231,0.055903415482445644,0.21785028790786948
alpha-0.5_dlayers-1_glayers-4_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,9,8,0.96316,0.007209793241815948,0.007124940230954068,0.0017892749157530545,0.04342610364683302
alpha-0.2_dlayers-2_glayers-1_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,2,8,0.89536,0.015187575132541452,0.015180799345579019,0.0037875160715434286,0.0761356365962892
alpha-0.5_dlayers-1_glayers-4_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,8,0,0.0,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-0.2_dlayers-2_glayers-1_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,6,8,0.84564,0.15964862117092923,0.10047986602209305,0.02915485147630898,0.14711292386436342
alpha-0.2_dlayers-2_glayers-1_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,8,8,0.84476,0.17929383887306546,0.10867495162074492,0.03180374056694672,0.16218809980806143
alpha-0.2_dlayers-2_glayers-1_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,7,8,0.84884,0.313705016769183,0.19124040066922546,0.05605808959398109,0.22656749840051185
alpha-0.5_dlayers-2_glayers-1_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,3,8,0.86568,0.011627216536575056,0.011963167151788127,0.0029429615221671815,0.06829814459373
alpha-0.5_dlayers-2_glayers-1_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,1,8,0.75992,0.09927731388732194,0.06610053810097888,0.019192063840777318,0.10504638515674983
alpha-0.2_dlayers-2_glayers-1_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,9,8,0.88764,0.3759402781807011,0.21269333206200292,0.06327177587705768,0.2432821497120921
alpha-0.5_dlayers-2_glayers-1_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,2,8,0.8844,0.00707923621130835,0.007098093126176312,0.0017700514500722077,0.04990403071017274
alpha-0.5_dlayers-2_glayers-1_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,6,8,0.83476,0.13574883589409065,0.08251545561364966,0.02448077104073105,0.11832213691618682
alpha-0.2_dlayers-2_glayers-1_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,10,8,0.88648,0.028174598747095186,0.02477623921322108,0.0065568677026436525,0.08825175943698016
alpha-0.5_dlayers-2_glayers-1_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,9,8,0.81572,0.22526708373826027,0.1463288905545837,0.04264259073226866,0.1992562380038388
alpha-0.5_dlayers-2_glayers-1_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,4,8,0.88392,0.0042098584686526665,0.004197441855030297,0.001050401042190305,0.043386116442738314
alpha-0.5_dlayers-2_glayers-1_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,7,8,0.87864,0.0029330111536899667,0.002911064933108874,0.0007301228555468204,0.03294945617402431
alpha-0.5_dlayers-2_glayers-1_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,10,8,0.88116,0.009282879221185682,0.009455177893256627,0.0023388235974632996,0.05666186820217531
alpha-0.5_dlayers-2_glayers-1_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,5,8,0.77648,0.011895289358396774,0.01228942512816418,0.003012074483965177,0.049864043506078065
alpha-0.5_dlayers-2_glayers-1_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,8,8,0.75756,0.10837391833628994,0.0715132958955571,0.020772899364954897,0.11408349328214971
alpha-0.2_dlayers-2_glayers-2_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,2,8,0.96788,0.004354294284121953,0.004425235179607433,0.0010965119789352624,0.03758797184900831
alpha-0.2_dlayers-2_glayers-2_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,6,8,0.9808,0.001219963397104039,0.0012060888064142567,0.0003031720317174767,0.020233525271912987
alpha-0.2_dlayers-2_glayers-2_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,1,8,0.96992,0.011598176806834306,0.012289912739754976,0.00297768284726695,0.0644193857965451
alpha-0.2_dlayers-2_glayers-2_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,4,8,0.95912,0.002533874814373679,0.002518358429927311,0.0006312910224765573,0.0306301983365323
alpha-0.2_dlayers-2_glayers-2_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,3,8,0.96008,0.0011702420408778516,0.0011770239019752125,0.0002933543596365376,0.02023352527191298
alpha-0.2_dlayers-2_glayers-2_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,5,8,0.98108,0.007474697356848721,0.007602133276807043,0.0018823957849300054,0.05518234165067179
alpha-0.5_dlayers-2_glayers-2_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,3,8,0.97396,0.002325899148284894,0.0023649741993208313,0.0005860623858300997,0.02811100447856687
alpha-0.5_dlayers-2_glayers-2_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,1,8,0.83296,0.0020265138580982285,0.0020508721608940086,0.000509440759084317,0.024872040946896996
alpha-0.2_dlayers-2_glayers-2_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,9,8,0.91956,0.0058665563029617895,0.005782518714281419,0.0014549103025256619,0.04734484964811259
alpha-0.5_dlayers-2_glayers-2_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,2,8,0.98136,0.0061611539084016065,0.006260123427135118,0.0015508188925022152,0.04418586052463211
alpha-0.5_dlayers-2_glayers-2_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,4,8,0.96748,0.003913099548006756,0.004031410202824784,0.0009919960360623157,0.032749520153550864
